x, f(x), f'(x), f''(x)
 -3.38400000e+00,  1.30094217e-03,  4.40278517e-03,  1.35985557e-02
 -3.37600000e+00,  1.33659956e-03,  4.51276430e-03,  1.38989678e-02
 -3.36800000e+00,  1.37314640e-03,  4.62516865e-03,  1.42048988e-02
 -3.36000000e+00,  1.41060226e-03,  4.74004268e-03,  1.45164203e-02
 -3.35200000e+00,  1.44898708e-03,  4.85743138e-03,  1.48336039e-02
 -3.34400000e+00,  1.48832116e-03,  4.97738034e-03,  1.51565214e-02
 -3.33600000e+00,  1.52862516e-03,  5.09993572e-03,  1.54852445e-02
 -3.32800000e+00,  1.56992013e-03,  5.22514425e-03,  1.58198454e-02
 -3.32000000e+00,  1.61222747e-03,  5.35305325e-03,  1.61603958e-02
 -3.31200000e+00,  1.65556898e-03,  5.48371059e-03,  1.65069679e-02
 -3.30400000e+00,  1.69996684e-03,  5.61716473e-03,  1.68596336e-02
 -3.29600000e+00,  1.74544362e-03,  5.75346472e-03,  1.72184647e-02
 -3.28800000e+00,  1.79202228e-03,  5.89266017e-03,  1.75835333e-02
 -3.28000000e+00,  1.83972618e-03,  6.03480125e-03,  1.79549109e-02
 -3.27200000e+00,  1.88857910e-03,  6.17993874e-03,  1.83326692e-02
 -3.26400000e+00,  1.93860520e-03,  6.32812396e-03,  1.87168798e-02
 -3.25600000e+00,  1.98982908e-03,  6.47940882e-03,  1.91076137e-02
 -3.24800000e+00,  2.04227574e-03,  6.63384578e-03,  1.95049421e-02
 -3.24000000e+00,  2.09597061e-03,  6.79148789e-03,  1.99089357e-02
 -3.23200000e+00,  2.15093955e-03,  6.95238875e-03,  2.03196650e-02
 -3.22400000e+00,  2.20720883e-03,  7.11660253e-03,  2.07372001e-02
 -3.21600000e+00,  2.26480519e-03,  7.28418396e-03,  2.11616108e-02
 -3.20800000e+00,  2.32375578e-03,  7.45518831e-03,  2.15929664e-02
 -3.20000000e+00,  2.38408820e-03,  7.62967142e-03,  2.20313358e-02
 -3.19200000e+00,  2.44583052e-03,  7.80768968e-03,  2.24767874e-02
 -3.18400000e+00,  2.50901124e-03,  7.98930002e-03,  2.29293893e-02
 -3.17600000e+00,  2.57365932e-03,  8.17455991e-03,  2.33892086e-02
 -3.16800000e+00,  2.63980419e-03,  8.36352735e-03,  2.38563122e-02
 -3.16000000e+00,  2.70747576e-03,  8.55626090e-03,  2.43307662e-02
 -3.15200000e+00,  2.77670437e-03,  8.75281961e-03,  2.48126359e-02
 -3.14400000e+00,  2.84752087e-03,  8.95326308e-03,  2.53019861e-02
 -3.13600000e+00,  2.91995658e-03,  9.15765139e-03,  2.57988806e-02
 -3.12800000e+00,  2.99404329e-03,  9.36604517e-03,  2.63033827e-02
 -3.12000000e+00,  3.06981330e-03,  9.57850551e-03,  2.68155544e-02
 -3.11200000e+00,  3.14729938e-03,  9.79509404e-03,  2.73354572e-02
 -3.10400000e+00,  3.22653481e-03,  1.00158728e-02,  2.78631514e-02
 -3.09600000e+00,  3.30755335e-03,  1.02409045e-02,  2.83986964e-02
 -3.08800000e+00,  3.39038928e-03,  1.04702520e-02,  2.89421505e-02
 -3.08000000e+00,  3.47507738e-03,  1.07039789e-02,  2.94935709e-02
 -3.07200000e+00,  3.56165294e-03,  1.09421491e-02,  3.00530137e-02
 -3.06400000e+00,  3.65015176e-03,  1.11848271e-02,  3.06205338e-02
 -3.05600000e+00,  3.74061017e-03,  1.14320776e-02,  3.11961848e-02
 -3.04800000e+00,  3.83306501e-03,  1.16839660e-02,  3.17800190e-02
 -3.04000000e+00,  3.92755363e-03,  1.19405579e-02,  3.23720874e-02
 -3.03200000e+00,  4.02411393e-03,  1.22019194e-02,  3.29724394e-02
 -3.02400000e+00,  4.12278434e-03,  1.24681170e-02,  3.35811233e-02
 -3.01600000e+00,  4.22360380e-03,  1.27392174e-02,  3.41981856e-02
 -3.00800000e+00,  4.32661182e-03,  1.30152880e-02,  3.48236712e-02
 -3.00000000e+00,  4.43184841e-03,  1.32963962e-02,  3.54576236e-02
 -2.99200000e+00,  4.53935416e-03,  1.35826099e-02,  3.61000844e-02
 -2.98400000e+00,  4.64917017e-03,  1.38739975e-02,  3.67510936e-02
 -2.97600000e+00,  4.76133812e-03,  1.41706274e-02,  3.74106892e-02
 -2.96800000e+00,  4.87590021e-03,  1.44725685e-02,  3.80789077e-02
 -2.96000000e+00,  4.99289921e-03,  1.47798899e-02,  3.87557832e-02
 -2.95200000e+00,  5.11237845e-03,  1.50926611e-02,  3.94413483e-02
 -2.94400000e+00,  5.23438179e-03,  1.54109515e-02,  4.01356333e-02
 -2.93600000e+00,  5.35895367e-03,  1.57348312e-02,  4.08386664e-02
 -2.92800000e+00,  5.48613909e-03,  1.60643702e-02,  4.15504737e-02
 -2.92000000e+00,  5.61598360e-03,  1.63996388e-02,  4.22710790e-02
 -2.91200000e+00,  5.74853331e-03,  1.67407074e-02,  4.30005041e-02
 -2.90400000e+00,  5.88383492e-03,  1.70876468e-02,  4.37387680e-02
 -2.89600000e+00,  6.02193566e-03,  1.74405277e-02,  4.44858876e-02
 -2.88800000e+00,  6.16288336e-03,  1.77994210e-02,  4.52418773e-02
 -2.88000000e+00,  6.30672640e-03,  1.81643978e-02,  4.60067490e-02
 -2.87200000e+00,  6.45351372e-03,  1.85355290e-02,  4.67805118e-02
 -2.86400000e+00,  6.60329486e-03,  1.89128860e-02,  4.75631723e-02
 -2.85600000e+00,  6.75611990e-03,  1.92965398e-02,  4.83547343e-02
 -2.84800000e+00,  6.91203950e-03,  1.96865617e-02,  4.91551989e-02
 -2.84000000e+00,  7.07110489e-03,  2.00830230e-02,  4.99645643e-02
 -2.83200000e+00,  7.23336786e-03,  2.04859947e-02,  5.07828257e-02
 -2.82400000e+00,  7.39888080e-03,  2.08955482e-02,  5.16099755e-02
